variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
fh_exit_min_0,1,iyi,fast_hangar,-46,0.0,0.0,0.0,120,5.0,1.0,66,0.1,1.7,0.4,1.0,-0.1,0.0,0,0.1,0.0,0.3,-0.3,0.0,0.0,0.1,48.7,33.2,53.2,59.0,77,15.4
fh_exit_min_0,2,zayif,fast_hangar,-45,1.0,23.5,22.5,87,10.6,0.45,8,-0.2,1.5,-0.3,0.1,-0.2,-0.1,0.0,0.0,0.1,-0.2,0.0,0.0,0.1,0.0,53.0,8.7,48.3,86.9,144.7,7.6
fh_exit_min_0,2,orta,fast_hangar,21,0.0,0.0,0.0,192,6.1,1.0,221,-1.1,4.9,-0.7,2.9,-1.2,0.0,0,1.3,0.0,-0.2,-0.2,-0.1,0.2,0.1,56.8,22.7,82.8,113.4,151,12.6
fh_exit_min_0,2,iyi,fast_hangar,178,0.0,0.0,0.0,192,5.0,1.0,373,-0.9,4.9,0.3,4.5,-0.7,0.0,0,0.7,0.0,0.5,-0.7,0.0,0.1,-0.1,61.0,35.7,110.2,129.9,151,15.0
fh_exit_min_0,3,zayif,fast_hangar,-7,0.3,55.0,54.8,26,13.5,0.1,17,-0.1,0.2,0.0,0.2,-0.1,0.0,0.0,0.2,0.0,0.1,0.0,-0.1,0.0,0.0,58.3,5.8,51.2,97.2,137.0,7.3
fh_exit_min_0,3,orta,fast_hangar,38,0.0,0.0,0.0,252,6.8,1.0,284,-1.6,6.8,-1.4,3.2,-1.8,0.0,0,1.7,0.0,-0.5,-0.4,-0.1,-0.2,-0.1,63.2,20.7,102.6,129.2,160,14.9
fh_exit_min_0,3,iyi,fast_hangar,369,0.0,0.0,0.0,252,5.4,1.0,617,-1.0,6.3,-0.6,5.8,-1.2,0,0,1.2,0,0.8,-0.3,0.1,-0.1,0.0,62.4,31.1,124.2,141.2,160,15.9
fh_exit_min_0,4,zayif,fast_hangar,-16,0.0,67.5,67.5,31,15.5,0.1,12,-0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,60.1,4.1,51.7,90.7,124.4,8.9
fh_exit_min_0,4,orta,fast_hangar,78,0.0,0.0,0.0,300,7.8,1.0,384,-1.5,8.2,-1.1,3.3,-1.4,0.0,0,1.3,0.0,-1.0,-0.8,0.0,0.1,0.3,64.8,14.9,106.2,130.0,160,15.8
fh_exit_min_0,4,iyi,fast_hangar,367,0.0,0.0,0.0,300,6.2,1.0,675,-2.2,7.2,-1.2,5.7,-2.6,0,0,2.6,0,-0.9,-0.4,0.0,0.2,0.3,61.8,25.0,129.8,140.9,160,16.0
