P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
2,zayif,gambler_case,-8,0.0,24.0,24.0,22,13.4,0.04,14,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,53.2,8.9,48.5,86.9,145.2,7.7
2,orta,fast_hangar,-62,0.0,0.0,0.0,192,6.0,1.0,119,-0.8,4.5,-1.6,1.7,-0.7,0.0,0,1.0,0.0,-0.4,-0.1,0.0,-0.5,0.0,56.8,22.6,82.8,113.4,151,12.6
2,orta,overtime,-101,0.0,0.0,0.0,192,3.0,1.0,97,-1.9,0.7,0.4,1.6,-1.2,0.2,0,2.1,-0.2,0.3,-1.5,3.2,0.0,0.2,56.8,22.6,82.8,113.4,151,12.6
2,orta,prestige_master,-237,0.0,0.0,0.0,600,6.3,1.0,354,16.3,-0.1,-0.2,0.3,-0.1,0.0,0,0.4,0.0,0.3,-0.2,0.0,-0.2,0.1,56.8,22.6,82.8,113.4,151,12.6
2,orta,extra_hangar,672,0.0,0.0,0.0,320,3.5,1.0,1033,-5.2,39.1,-4.4,15.1,-5.2,0.0,0,5.3,0.0,-0.9,-1.9,-0.2,0.9,0.7,56.8,22.6,82.8,113.4,151,12.6
2,orta,gambler_case,285,0.0,0.0,0.0,560,7.7,1.0,959,-0.1,0.1,0.1,0.4,0.1,0.0,0,0.2,0.0,0.6,-0.5,0.0,0.1,-0.3,56.8,22.6,82.8,113.4,151,12.6
2,iyi,fast_hangar,-77,0.0,0.0,0.0,192,5.0,1.0,115,-0.8,3.9,-1.6,1.8,-1.0,0.0,0,0.9,0.0,-0.3,-0.2,-0.1,0.1,-0.1,61.0,35.9,110.2,129.9,151,15.0
2,iyi,overtime,-238,0.0,0.0,0.0,192,2.4,1.0,-39,-1.8,0.5,0.1,0.3,-1.6,0.0,0,1.7,0.0,-1.1,-1.0,1.0,0.2,-0.1,61.0,35.9,110.2,129.9,151,15.0
2,iyi,prestige_master,40,0.0,0.0,0.0,600,5.1,1.0,643,20.3,0.2,-0.1,0.2,-0.5,0.0,0,0.5,0.0,-0.2,-0.1,0.1,0.0,-0.1,61.0,35.9,110.2,129.9,151,15.0
2,iyi,extra_hangar,1198,0.0,0.0,0.0,320,3,1.0,1554,-7.4,34.8,-3.3,21.2,-8.1,0.0,0,8.1,0.0,-0.2,-1.6,-0.2,0.7,0.1,61.0,35.9,110.2,129.9,151,15.0
2,iyi,gambler_case,766,0.0,0.0,0.0,560,5.6,1.0,1379,-0.4,0.0,-0.2,-0.1,-0.4,0.0,0,0.5,0.0,-0.5,-0.1,0.1,-0.1,-0.1,61.0,35.9,110.2,129.9,151,15.0
3,zayif,fast_hangar,-7,1.0,55.0,54.0,24,14.1,0.1,-8,-0.1,0.2,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.1,58.1,5.7,50.8,96.7,136.4,7.2
3,zayif,overtime,32,6.0,60.0,54.0,111,5.5,0.44,-150,-1.0,-1.4,-0.3,-1.6,-2.9,-4.2,-4.4,-0.7,-0.1,-3.2,-0.6,1.6,0.1,-0.7,58.1,5.7,50.8,96.7,136.4,7.2
3,zayif,prestige_master,-11,0.0,54.0,54.0,13,15.4,0.04,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,58.1,5.7,50.8,96.7,136.4,7.2
3,zayif,extra_hangar,27,0.5,54.5,54.0,42,5.8,0.1,52,-0.5,4.1,0.0,0.7,-0.6,-0.2,-0.2,0.5,0.0,-0.7,0.0,0.1,0.2,0.1,58.1,5.7,50.8,96.7,136.4,7.2
3,zayif,gambler_case,0,0.0,54.0,54.0,0,,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.1,5.7,50.8,96.7,136.4,7.2
3,orta,fast_hangar,-534,0.0,0.0,0.0,252,6.9,1.0,-312,0.9,5.9,-3.2,-3.1,1.5,0.0,0,-1.4,0.0,-1.3,-1.0,0.0,-0.7,-0.8,63.2,20.5,102.2,129.3,160,14.9
