variant,P,profile,card,d_final,d_loss_pp,loss%,base_loss%,cost,buy_day,buy_frac,d_income,d_prestige_end,d_trucksSpawned,d_trucksFull,d_delivered,d_served,d_spawned,d_quota,d_lost,d_missed,d_packed,d_phone,d_earlyEnd,d_wrongDelivery,d_drops,b_trucksSpawned,b_trucksFull,b_delivered,b_served,b_quota,b_earlyEnd
live,3,iyi,fast_hangar,-164,0.0,0.0,0.0,252,5.4,1.0,87,-0.5,3.7,-1.4,0.9,-0.9,0,0,0.8,0,-0.6,0.2,0.1,0.1,-0.2,62.4,31.1,124.2,141.2,160,15.9
live,3,iyi,overtime,-367,0.0,0.0,0.0,252,3.2,1.0,-119,-1.1,-0.4,-0.3,-0.7,-1.0,0,0,0.9,0,-1.3,-1.2,0.1,0.0,-0.3,62.4,31.1,124.2,141.2,160,15.9
live,3,iyi,prestige_master,-143,0.0,0.0,0.0,788,5.7,1.0,641,8.7,0.1,0.0,0.4,-0.1,0,0,0.1,0,0.3,0.1,0.0,-0.1,-0.1,62.4,31.1,124.2,141.2,160,15.9
live,3,iyi,null_fast_hangar,-294,0.0,0.0,0.0,252,5.4,1.0,-48,-0.1,-0.2,-0.2,-0.4,-0.4,0,0,0.4,0,-0.2,0.2,0.1,-0.1,0.0,62.4,31.1,124.2,141.2,160,15.9
live,3,iyi,null_overtime,-329,0.0,0.0,0.0,252,3.2,1.0,-79,-0.1,-0.1,-0.3,-0.7,-0.4,0,0,0.3,0,-0.4,0.3,0.1,0.0,-0.2,62.4,31.1,124.2,141.2,160,15.9
live,3,iyi,null_prestige_master,-737,0.0,0.0,0.0,788,5.7,1.0,47,0.1,0.1,0.0,0.4,-0.1,0,0,0.1,0,0.3,0.1,0.0,-0.1,-0.1,62.4,31.1,124.2,141.2,160,15.9
live,3,iyi,extra_hangar,1778,0.0,0.0,0.0,420,3.5,1.0,2226,-7.5,40.0,-4.5,23.4,-8.7,0,0,8.7,0,0.1,-1.1,0.0,0.7,0.1,62.4,31.1,124.2,141.2,160,15.9
live,3,iyi,gambler_case,997,0.0,0.0,0.0,735,6.3,1.0,1785,-0.1,-0.2,-0.4,-0.4,-0.4,0,0,0.4,0,-0.4,0.4,0.1,-0.1,-0.1,62.4,31.1,124.2,141.2,160,15.9
live,4,zayif,fast_hangar,-17,0.0,67.5,67.5,31,15.5,0.1,11,-0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,60.1,4.1,51.7,90.7,124.4,8.9
live,4,zayif,overtime,1,1.7,69.2,67.5,64,8.1,0.21,-4,-0.2,0.0,-0.1,0.0,-0.1,-0.3,-0.4,0.0,0.0,-0.1,-0.3,0.3,0.1,-0.1,60.1,4.1,51.7,90.7,124.4,8.9
live,4,zayif,prestige_master,-37,0.0,67.5,67.5,45,15.6,0.08,4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1,4.1,51.7,90.7,124.4,8.9
live,4,zayif,null_fast_hangar,-21,0.0,67.5,67.5,31,15.5,0.1,6,-0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,60.1,4.1,51.7,90.7,124.4,8.9
live,4,zayif,null_overtime,6,2.7,70.2,67.5,64,8.1,0.21,-103,-0.3,-0.7,-0.2,-0.9,-1.0,-1.4,-1.4,-0.4,0.0,-1.2,-0.1,-0.1,-0.1,-0.2,60.1,4.1,51.7,90.7,124.4,8.9
live,4,zayif,null_prestige_master,-30,0.2,67.8,67.5,45,15.6,0.08,4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1,4.1,51.7,90.7,124.4,8.9
live,4,zayif,extra_hangar,-17,-0.3,67.2,67.5,44,12.8,0.09,34,-0.1,1.4,-0.1,0.3,0.0,0.2,0.1,0.1,0.0,0.1,0.0,0.0,0.1,0.0,60.1,4.1,51.7,90.7,124.4,8.9
live,4,zayif,gambler_case,-20,0.0,67.5,67.5,22,16,0.03,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.1,4.1,51.7,90.7,124.4,8.9
live,4,orta,fast_hangar,-988,0.0,0.0,0.0,300,7.8,1.0,-722,1.4,5.4,-2.4,-5.9,1.8,0.0,0,-1.7,0.0,-2.9,-0.3,0.0,-0.7,-0.5,64.8,14.9,106.2,130.0,160,15.8
live,4,orta,overtime,-430,0.2,0.2,0.0,300,4.0,1.0,-158,-1.5,0.1,0.0,-0.9,-0.9,-0.1,-0.1,0.6,0,-1.5,-2.1,0.1,-0.1,0.0,64.8,14.9,106.2,130.0,160,15.8
live,4,orta,prestige_master,-677,0.0,0.0,0.0,937,8.4,1.0,254,13.0,0.0,-0.1,-0.3,0.0,0.0,0,0.1,0.0,-0.5,0.0,0.0,0.0,0.0,64.8,14.9,106.2,130.0,160,15.8
live,4,orta,null_fast_hangar,-317,0.0,0.0,0.0,300,7.8,1.0,-14,-0.2,0.1,0.1,-0.1,-0.2,0.0,0,0.1,0.0,-0.2,-0.1,0.0,0.1,-0.2,64.8,14.9,106.2,130.0,160,15.8
live,4,orta,null_overtime,-293,0.0,0.0,0.0,300,4.0,1.0,6,-0.0,0.2,0.1,0.0,0.2,0,0,-0.4,0,0.2,-0.3,0.0,0.3,-0.1,64.8,14.9,106.2,130.0,160,15.8
live,4,orta,null_prestige_master,-961,0.0,0.0,0.0,937,8.4,1.0,-31,-0.0,0.0,-0.1,-0.2,0.0,0.0,0,0.1,0.0,-0.5,0.0,0.0,0.0,0.1,64.8,14.9,106.2,130.0,160,15.8
live,4,orta,extra_hangar,1219,0.0,0.0,0.0,500,5.0,1.0,1786,-5.5,45.8,-2.4,16.1,-5.7,0,0,5.6,0,0.1,-1.7,0.0,1.6,1.3,64.8,14.9,106.2,130.0,160,15.8
live,4,orta,gambler_case,225,0.0,0.0,0.0,875,10.8,1.0,1179,0.0,-0.1,-0.1,-0.2,-0.1,0,0,0.0,0,-0.4,0.1,0.0,-0.2,-0.2,64.8,14.9,106.2,130.0,160,15.8
live,4,iyi,fast_hangar,-240,0.0,0.0,0.0,300,6.2,1.0,65,-0.3,3.8,-2.0,0.6,-0.1,0,0,0.1,0,0.0,-0.3,0.0,0.2,0.0,61.8,25.0,129.8,140.9,160,16.0
