variant,cell,loss%,final_mean,final_p10,day1_money,day1_income,income_total,rent_total,upg_total,cards,deaths
C_only,P2_orta_mantikli,7.0,1700,666,573,89,8148,2772,4097,20.9,"{'bankrupt@12': 6, 'bankrupt@8': 15}"
C_only,P2_orta_secici,0.0,3145,1981,519,89,8521,3208,2148,6.4,{}
C_only,P2_iyi_hic,0.0,6671,5631,746,150,9304,3489,0,0,{}
C_only,P2_iyi_acgozlu,0.3,7913,5479,470,143,14581,2511,4953,23.8,{'bankrupt@12': 1}
C_only,P2_iyi_mantikli,0.0,7188,5075,631,143,14359,2949,5000,23.8,{}
C_only,P2_iyi_secici,0.0,8197,6569,578,143,13545,3113,2369,6.8,{}
C_only,P3_zayif_hic,45.3,901,199,796,86,4683,4157,0,0,"{'bankrupt@16': 31, 'bankrupt@12': 98, 'bankrupt@8': 7}"
C_only,P3_zayif_acgozlu,100.0,885,635,417,83,3461,474,2553,13.4,"{'bankrupt@12': 299, 'bankrupt@16': 1}"
C_only,P3_zayif_mantikli,97.0,1074,809,796,86,2459,1033,896,5.6,"{'bankrupt@12': 49, 'bankrupt@8': 235, 'bankrupt@16': 7}"
C_only,P3_zayif_secici,52.0,989,177,796,86,4533,2927,953,3.4,"{'bankrupt@16': 26, 'bankrupt@12': 60, 'bankrupt@8': 70}"
C_only,P3_orta_hic,0.0,4475,3459,862,150,9982,6120,0,0,{}
C_only,P3_orta_acgozlu,23.0,3506,1062,481,145,12109,2669,6464,22.7,{'bankrupt@12': 69}
C_only,P3_orta_mantikli,8.0,2580,1079,862,150,12285,4834,5391,20.2,"{'bankrupt@12': 8, 'bankrupt@8': 16}"
C_only,P3_orta_secici,0.0,4536,3041,862,150,13053,5744,2847,6.3,{}
C_only,P3_iyi_hic,0.0,7747,6381,926,210,12860,6120,0,0,{}
C_only,P3_iyi_acgozlu,0.3,10727,7835,550,209,20527,3858,6850,23.8,{'bankrupt@12': 1}
C_only,P3_iyi_mantikli,0.3,8610,5777,926,210,19826,5192,6935,23.8,{'bankrupt@8': 1}
C_only,P3_iyi_secici,0.0,10051,8044,926,210,18564,5374,3332,6.9,{}
C_only,P4_zayif_hic,61.0,1420,339,937,83,5713,4818,0,0,"{'bankrupt@12': 136, 'bankrupt@16': 16, 'bankrupt@8': 31}"
C_only,P4_zayif_acgozlu,100.0,1308,935,491,87,4813,697,3409,14.2,"{'bankrupt@12': 299, 'bankrupt@16': 1}"
C_only,P4_zayif_mantikli,97.7,1478,1098,937,83,2975,1269,926,5.1,"{'bankrupt@8': 265, 'bankrupt@12': 27, 'bankrupt@16': 1}"
C_only,P4_zayif_secici,78.0,1556,639,937,83,4812,3007,815,2.6,"{'bankrupt@8': 149, 'bankrupt@12': 64, 'bankrupt@16': 21}"
C_only,P4_orta_hic,0.0,4575,3126,1095,243,12533,8742,0,0,{}
C_only,P4_orta_acgozlu,39.3,4329,1345,637,235,14199,3062,7518,22.4,"{'bankrupt@12': 117, 'bankrupt@16': 1}"
C_only,P4_orta_mantikli,20.3,3003,1183,1095,243,14169,5943,5942,18.8,"{'bankrupt@8': 38, 'bankrupt@12': 22, 'bankrupt@16': 1}"
C_only,P4_orta_secici,0.0,5022,3239,1095,243,16264,8231,3279,6.1,{}
C_only,P4_iyi_hic,0.0,8558,6937,1091,230,16136,8750,0,0,{}
C_only,P4_iyi_acgozlu,0.7,12649,9558,629,219,24893,5125,8204,23.8,{'bankrupt@12': 2}
C_only,P4_iyi_mantikli,0.7,9326,6213,1091,230,23871,7392,8253,23.6,{'bankrupt@8': 2}
C_only,P4_iyi_secici,0.0,11399,8668,1091,230,22788,7828,3914,6.8,{}
