group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
iyi,12,1.0,1.25,16170,0,0.0,0.0,0.00024
iyi,12,1.25,1.5,13106,0,0.0,0.0,0.00029
iyi,12,1.5,2.0,19603,0,0.0,0.0,0.0002
iyi,12,2.0,3.0,20185,0,0.0,0.0,0.00019
iyi,12,3.0,inf,3749,0,0.0,0.0,0.00102
orta,3,0.5,0.75,353,0,0.0,0.0,0.01077
orta,3,0.75,1.0,10856,49,0.00451,0.00342,0.00596
orta,3,1.0,1.25,50410,136,0.0027,0.00228,0.00319
orta,3,1.25,1.5,35430,28,0.00079,0.00055,0.00114
orta,3,1.5,2.0,14147,11,0.00078,0.00043,0.00139
orta,3,2.0,3.0,8753,6,0.00069,0.00031,0.00149
orta,3,3.0,inf,51,0,0.0,0.0,0.07005
orta,5,0,0.25,4458,17,0.00381,0.00238,0.0061
orta,5,0.25,0.5,31222,146,0.00468,0.00398,0.0055
orta,5,0.5,0.75,44150,47,0.00106,0.0008,0.00142
orta,5,0.75,1.0,20940,10,0.00048,0.00026,0.00088
orta,5,1.0,1.25,8475,5,0.00059,0.00025,0.00138
orta,5,1.25,1.5,4768,5,0.00105,0.00045,0.00245
orta,5,1.5,2.0,5145,0,0.0,0.0,0.00075
orta,5,2.0,3.0,842,0,0.0,0.0,0.00454
orta,8,0,0.25,59831,202,0.00338,0.00294,0.00387
orta,8,0.25,0.5,33924,12,0.00035,0.0002,0.00062
orta,8,0.5,0.75,12389,7,0.00057,0.00027,0.00117
orta,8,0.75,1.0,7079,2,0.00028,8e-05,0.00103
orta,8,1.0,1.25,4144,0,0.0,0.0,0.00093
orta,8,1.25,1.5,1823,0,0.0,0.0,0.0021
orta,8,1.5,2.0,776,0,0.0,0.0,0.00493
orta,8,2.0,3.0,27,0,0.0,0.0,0.12456
orta,12,0,0.25,33264,25,0.00075,0.00051,0.00111
orta,12,0.25,0.5,45307,4,9e-05,3e-05,0.00023
orta,12,0.5,0.75,21430,4,0.00019,7e-05,0.00048
orta,12,0.75,1.0,9538,3,0.00031,0.00011,0.00092
orta,12,1.0,1.25,5580,0,0.0,0.0,0.00069
orta,12,1.25,1.5,3086,0,0.0,0.0,0.00124
orta,12,1.5,2.0,1522,0,0.0,0.0,0.00252
orta,12,2.0,3.0,79,0,0.0,0.0,0.04637
zayif,3,0.25,0.5,739,374,0.50609,0.4701,0.54201
zayif,3,0.5,0.75,18943,12470,0.65829,0.65151,0.66501
zayif,3,0.75,1.0,46682,31839,0.68204,0.6778,0.68625
zayif,3,1.0,1.25,31805,15023,0.47235,0.46686,0.47784
zayif,3,1.25,1.5,10470,4498,0.42961,0.42015,0.43911
zayif,3,1.5,2.0,6975,3610,0.51756,0.50583,0.52928
zayif,3,2.0,3.0,4386,1706,0.38896,0.37464,0.40348
zayif,5,0,0.25,40352,23749,0.58855,0.58374,0.59334
zayif,5,0.25,0.5,57628,35188,0.61061,0.60662,0.61458
zayif,5,0.5,0.75,12189,6245,0.51235,0.50347,0.52122
zayif,5,0.75,1.0,3771,2095,0.55556,0.53965,0.57135
zayif,5,1.0,1.25,3516,1569,0.44625,0.42988,0.46273
zayif,5,1.25,1.5,1917,577,0.30099,0.28087,0.32191
zayif,5,1.5,2.0,627,97,0.1547,0.12851,0.18511
zayif,8,0,0.25,79638,42051,0.52803,0.52456,0.53149
zayif,8,0.25,0.5,10168,6157,0.60553,0.59599,0.61499
zayif,8,0.5,0.75,13596,6878,0.50588,0.49748,0.51429
zayif,8,0.75,1.0,3107,1070,0.34438,0.32788,0.36127
zayif,8,1.0,1.25,117,3,0.02564,0.00876,0.07268
zayif,8,1.25,1.5,13,0,0.0,0.0,0.2281
zayif,12,0,0.25,38528,16475,0.42761,0.42268,0.43256
zayif,12,0.25,0.5,12659,2865,0.22632,0.21912,0.23369
zayif,12,0.5,0.75,16651,1221,0.07333,0.06947,0.07739
zayif,12,0.75,1.0,3293,96,0.02915,0.02393,0.03547
zayif,12,1.0,1.25,6,0,0.0,0.0,0.39034
