group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
P1,8,3.0,inf,632,0,0.0,0.0,0.00604
P1,12,0,0.25,42662,4134,0.0969,0.09413,0.09974
P1,12,0.25,0.5,34825,1105,0.03173,0.02994,0.03362
P1,12,0.5,0.75,31956,678,0.02122,0.01969,0.02286
P1,12,0.75,1.0,19055,172,0.00903,0.00778,0.01047
P1,12,1.0,1.25,10358,0,0.0,0.0,0.00037
P1,12,1.25,1.5,7084,0,0.0,0.0,0.00054
P1,12,1.5,2.0,9589,0,0.0,0.0,0.0004
P1,12,2.0,3.0,13090,0,0.0,0.0,0.00029
P1,12,3.0,inf,9386,0,0.0,0.0,0.00041
P2,3,0,0.25,2,0,0.0,0.0,0.65763
P2,3,0.25,0.5,34,2,0.05882,0.01628,0.19094
P2,3,0.5,0.75,1163,128,0.11006,0.09334,0.12935
P2,3,0.75,1.0,11949,729,0.06101,0.05686,0.06544
P2,3,1.0,1.25,45179,2046,0.04529,0.04341,0.04724
P2,3,1.25,1.5,50997,1797,0.03524,0.03367,0.03687
P2,3,1.5,2.0,49219,435,0.00884,0.00805,0.0097
P2,3,2.0,3.0,21449,0,0.0,0.0,0.00018
P2,3,3.0,inf,8,0,0.0,0.0,0.32442
P2,5,0,0.25,10156,650,0.064,0.0594,0.06893
P2,5,0.25,0.5,32106,2107,0.06563,0.06297,0.06839
P2,5,0.5,0.75,34654,1835,0.05295,0.05064,0.05536
P2,5,0.75,1.0,28352,505,0.01781,0.01634,0.01942
P2,5,1.0,1.25,23821,39,0.00164,0.0012,0.00224
P2,5,1.25,1.5,20038,1,5e-05,1e-05,0.00028
