variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
base,2,zayif,mantikli,on,3,40000,619,0.0119,0.7368,1.052
base,2,zayif,mantikli,on,5,40000,619,-0.0061,0.6423,0.387
base,2,zayif,mantikli,on,8,40000,619,-0.1223,0.1546,0.136
base,2,zayif,mantikli,on,12,39851,470,-0.078,0.5354,0.162
base,2,zayif,mantikli,off,3,40000,596,0.0153,0.7185,1.052
base,2,zayif,mantikli,off,5,40000,596,-0.0134,0.6214,0.362
base,2,zayif,mantikli,off,8,40000,596,-0.1131,0.148,0.132
base,2,zayif,mantikli,off,12,39854,450,-0.0651,0.5501,0.168
base,3,iyi,acgozlu,on,3,40000,0,0.1576,nan,1.441
base,3,iyi,acgozlu,on,5,40000,0,0.2811,nan,0.932
base,3,iyi,acgozlu,on,8,40000,0,0.4084,nan,0.503
base,3,iyi,acgozlu,on,12,40000,0,0.5717,nan,1.211
base,3,iyi,acgozlu,off,3,40000,0,0.1797,nan,1.44
base,3,iyi,acgozlu,off,5,40000,0,0.2716,nan,0.898
base,3,iyi,acgozlu,off,8,40000,0,0.406,nan,0.465
base,3,iyi,acgozlu,off,12,40000,0,0.541,nan,1.132
base,3,iyi,hic,on,3,40000,0,0.0603,nan,1.738
base,3,iyi,hic,on,5,40000,0,0.1652,nan,1.526
base,3,iyi,hic,on,8,40000,0,0.3932,nan,1.445
base,3,iyi,hic,on,12,40000,0,0.7066,nan,2.184
base,3,iyi,hic,off,3,40000,0,0.0729,nan,1.738
base,3,iyi,hic,off,5,40000,0,0.1668,nan,1.496
base,3,iyi,hic,off,8,40000,0,0.3966,nan,1.381
base,3,iyi,hic,off,12,40000,0,0.6988,nan,2.132
base,3,iyi,mantikli,on,3,40000,0,-0.0081,nan,1.444
base,3,iyi,mantikli,on,5,40000,0,0.3651,nan,1.048
base,3,iyi,mantikli,on,8,40000,0,0.2228,nan,0.463
base,3,iyi,mantikli,on,12,40000,0,0.6215,nan,1.417
base,3,iyi,mantikli,off,3,40000,0,-0.008,nan,1.446
base,3,iyi,mantikli,off,5,40000,0,0.3523,nan,1.018
base,3,iyi,mantikli,off,8,40000,0,0.2586,nan,0.448
base,3,iyi,mantikli,off,12,40000,0,0.5864,nan,1.316
base,3,orta,acgozlu,on,3,40000,0,0.1425,nan,1.241
base,3,orta,acgozlu,on,5,40000,0,0.2015,nan,0.659
base,3,orta,acgozlu,on,8,40000,0,0.2037,nan,0.27
base,3,orta,acgozlu,on,12,40000,0,0.3886,nan,0.49
base,3,orta,acgozlu,off,3,40000,0,0.1169,nan,1.243
base,3,orta,acgozlu,off,5,40000,0,0.1836,nan,0.635
base,3,orta,acgozlu,off,8,40000,0,0.182,nan,0.261
base,3,orta,acgozlu,off,12,40000,0,0.364,nan,0.481
base,3,orta,hic,on,3,40000,0,0.1634,nan,1.446
base,3,orta,hic,on,5,40000,0,0.2736,nan,1.052
base,3,orta,hic,on,8,40000,0,0.4608,nan,0.8
base,3,orta,hic,on,12,40000,0,0.7383,nan,1.161
base,3,orta,hic,off,3,40000,0,0.1639,nan,1.446
base,3,orta,hic,off,5,40000,0,0.2733,nan,1.025
base,3,orta,hic,off,8,40000,0,0.4567,nan,0.743
base,3,orta,hic,off,12,40000,0,0.7426,nan,1.126
base,3,orta,mantikli,on,3,40000,2,0.084,0.5792,1.333
base,3,orta,mantikli,on,5,40000,2,0.2847,0.9467,0.713
base,3,orta,mantikli,on,8,39999,1,0.2422,0.8031,0.258
base,3,orta,mantikli,on,12,39998,0,0.4219,nan,0.522
base,3,orta,mantikli,off,3,40000,2,0.0969,0.6583,1.332
base,3,orta,mantikli,off,5,40000,2,0.2838,0.931,0.685
base,3,orta,mantikli,off,8,39999,1,0.2262,0.7956,0.243
base,3,orta,mantikli,off,12,39998,0,0.4131,nan,0.506
base,3,zayif,acgozlu,on,3,40000,900,0.0638,0.7805,0.904
base,3,zayif,acgozlu,on,5,40000,900,-0.0206,0.5769,0.332
base,3,zayif,acgozlu,on,8,40000,900,-0.1546,0.1237,0.133
base,3,zayif,acgozlu,on,12,39755,655,0.0654,0.7402,0.243
base,3,zayif,acgozlu,off,3,40000,995,0.0777,0.7947,0.9
base,3,zayif,acgozlu,off,5,40000,995,-0.0183,0.556,0.311
base,3,zayif,acgozlu,off,8,40000,995,-0.1559,0.1481,0.131
base,3,zayif,acgozlu,off,12,39674,669,0.0818,0.7569,0.271
base,3,zayif,hic,on,3,40000,19996,0.2049,0.6467,1.07
base,3,zayif,hic,on,5,40000,19996,0.2809,0.7093,0.444
base,3,zayif,hic,on,8,38577,18573,0.2022,0.5523,0.136
base,3,zayif,hic,on,12,24047,4043,0.3709,0.6133,0.128
base,3,zayif,hic,off,3,40000,21667,0.199,0.6434,1.07
base,3,zayif,hic,off,5,40000,21667,0.2827,0.7026,0.423
base,3,zayif,hic,off,8,38355,20022,0.1386,0.514,0.132
base,3,zayif,hic,off,12,22137,3804,0.3729,0.6308,0.123
base,3,zayif,mantikli,on,3,40000,22444,0.1954,0.6043,1.066
base,3,zayif,mantikli,on,5,40000,22444,0.1859,0.6307,0.35
base,3,zayif,mantikli,on,8,38171,20615,-0.0022,0.4719,0.127
base,3,zayif,mantikli,on,12,20884,3328,0.2343,0.6419,0.12
base,3,zayif,mantikli,off,3,40000,24346,0.1913,0.5986,1.064
base,3,zayif,mantikli,off,5,40000,24346,0.1682,0.6185,0.329
base,3,zayif,mantikli,off,8,37941,22287,-0.0256,0.4738,0.124
base,3,zayif,mantikli,off,12,18773,3119,0.2642,0.6596,0.115
base,4,iyi,acgozlu,on,3,40000,0,0.1115,nan,1.317
base,4,iyi,acgozlu,on,5,40000,0,0.2515,nan,0.8
base,4,iyi,acgozlu,on,8,40000,0,0.3521,nan,0.35
base,4,iyi,acgozlu,on,12,40000,0,0.5812,nan,0.845
base,4,iyi,acgozlu,off,3,40000,0,0.1024,nan,1.316
base,4,iyi,acgozlu,off,5,40000,0,0.216,nan,0.767
base,4,iyi,acgozlu,off,8,40000,0,0.3021,nan,0.324
base,4,iyi,acgozlu,off,12,40000,0,0.5445,nan,0.77
base,4,iyi,hic,on,3,40000,0,0.0542,nan,1.485
base,4,iyi,hic,on,5,40000,0,0.1715,nan,1.203
base,4,iyi,hic,on,8,40000,0,0.421,nan,1.017
base,4,iyi,hic,on,12,40000,0,0.7175,nan,1.614
base,4,iyi,hic,off,3,40000,0,0.0571,nan,1.483
base,4,iyi,hic,off,5,40000,0,0.1656,nan,1.172
base,4,iyi,hic,off,8,40000,0,0.4238,nan,0.956
base,4,iyi,hic,off,12,40000,0,0.7237,nan,1.558
base,4,iyi,mantikli,on,3,40000,0,0.0331,nan,1.394
base,4,iyi,mantikli,on,5,40000,0,0.2813,nan,0.878
base,4,iyi,mantikli,on,8,40000,0,0.3427,nan,0.363
base,4,iyi,mantikli,on,12,40000,0,0.5681,nan,0.959
base,4,iyi,mantikli,off,3,40000,0,0.0196,nan,1.392
base,4,iyi,mantikli,off,5,40000,0,0.2711,nan,0.851
base,4,iyi,mantikli,off,8,40000,0,0.3504,nan,0.338
base,4,iyi,mantikli,off,12,40000,0,0.5202,nan,0.893
