variant,P,profile,strategy,events,day,alive,lostAfter,corr_money_final,auc_ratio_loss,ratio_med
sens_fast,3,zayif,hic,on,3,10000,657,0.1776,0.7225,1.187
sens_fast,3,zayif,hic,on,5,10000,657,0.2761,0.7964,0.602
sens_fast,3,zayif,hic,on,8,9939,596,0.362,0.6748,0.163
sens_fast,3,zayif,hic,on,12,9375,32,0.6474,0.8216,0.247
sens_fast,3,zayif,mantikli,on,3,10000,962,0.2376,0.6239,1.156
sens_fast,3,zayif,mantikli,on,5,10000,962,0.1703,0.6629,0.428
sens_fast,3,zayif,mantikli,on,8,9883,845,0.0986,0.5158,0.137
sens_fast,3,zayif,mantikli,on,12,9074,36,0.326,0.8413,0.192
sens_fast,4,iyi,acgozlu,on,3,10000,0,0.0948,nan,1.317
sens_fast,4,iyi,acgozlu,on,5,10000,0,0.2514,nan,0.787
sens_fast,4,iyi,acgozlu,on,8,10000,0,0.3408,nan,0.346
sens_fast,4,iyi,acgozlu,on,12,10000,0,0.6119,nan,0.903
sens_fast,4,iyi,hic,on,3,10000,0,0.0488,nan,1.511
sens_fast,4,iyi,hic,on,5,10000,0,0.1552,nan,1.207
sens_fast,4,iyi,hic,on,8,10000,0,0.4029,nan,1.017
sens_fast,4,iyi,hic,on,12,10000,0,0.7065,nan,1.651
sens_fast,4,iyi,mantikli,on,3,10000,0,0.0315,nan,1.383
sens_fast,4,iyi,mantikli,on,5,10000,0,0.2853,nan,0.867
sens_fast,4,iyi,mantikli,on,8,10000,0,0.3516,nan,0.358
sens_fast,4,iyi,mantikli,on,12,10000,0,0.5915,nan,1.024
sens_fast,4,orta,acgozlu,on,3,10000,0,0.0796,nan,1.213
sens_fast,4,orta,acgozlu,on,5,10000,0,0.2392,nan,0.642
sens_fast,4,orta,acgozlu,on,8,10000,0,0.2266,nan,0.233
sens_fast,4,orta,acgozlu,on,12,10000,0,0.4541,nan,0.468
sens_fast,4,orta,hic,on,3,10000,0,0.1409,nan,1.369
sens_fast,4,orta,hic,on,5,10000,0,0.2679,nan,0.964
