group,day,ratio_lo,ratio_hi,n_alive,lost_after,p_lose,ci95_lo,ci95_hi
P1,3,1.25,1.5,154130,4396,0.02852,0.0277,0.02936
P1,3,1.5,2.0,165127,10224,0.06192,0.06076,0.06309
P1,3,2.0,3.0,179243,7264,0.04053,0.03962,0.04145
P1,3,3.0,inf,29230,0,0.0,0.0,0.00013
P1,5,0,0.25,66300,7152,0.10787,0.10553,0.11026
P1,5,0.25,0.5,114572,8206,0.07162,0.07014,0.07313
P1,5,0.5,0.75,117111,5063,0.04323,0.04208,0.04441
P1,5,0.75,1.0,105365,5505,0.05225,0.05092,0.05361
P1,5,1.0,1.25,91573,5269,0.05754,0.05605,0.05907
P1,5,1.25,1.5,63502,2398,0.03776,0.03631,0.03927
P1,5,1.5,2.0,70340,574,0.00816,0.00752,0.00885
P1,5,2.0,3.0,86841,2,2e-05,1e-05,8e-05
P1,5,3.0,inf,4396,0,0.0,0.0,0.00087
P1,8,0,0.25,283173,20181,0.07127,0.07033,0.07222
P1,8,0.25,0.5,157592,7977,0.05062,0.04955,0.05171
P1,8,0.5,0.75,90317,4897,0.05422,0.05276,0.05572
P1,8,0.75,1.0,40886,1094,0.02676,0.02524,0.02837
P1,8,1.0,1.25,24344,19,0.00078,0.0005,0.00122
P1,8,1.25,1.5,23854,1,4e-05,1e-05,0.00024
P1,8,1.5,2.0,48190,0,0.0,0.0,8e-05
P1,8,2.0,3.0,49800,0,0.0,0.0,8e-05
P1,8,3.0,inf,1844,0,0.0,0.0,0.00208
P1,12,0,0.25,173599,17898,0.1031,0.10168,0.10454
P1,12,0.25,0.5,140938,4568,0.03241,0.0315,0.03335
P1,12,0.5,0.75,129712,2689,0.02073,0.01997,0.02152
P1,12,0.75,1.0,75310,562,0.00746,0.00687,0.0081
P1,12,1.0,1.25,40939,0,0.0,0.0,9e-05
P1,12,1.25,1.5,27519,0,0.0,0.0,0.00014
P1,12,1.5,2.0,36640,0,0.0,0.0,0.0001
P1,12,2.0,3.0,51866,0,0.0,0.0,7e-05
P1,12,3.0,inf,35025,0,0.0,0.0,0.00011
P2,3,0.25,0.5,58,11,0.18966,0.10934,0.30853
P2,3,0.5,0.75,6136,519,0.08458,0.07788,0.09181
P2,3,0.75,1.0,56443,2761,0.04892,0.04717,0.05073
P2,3,1.0,1.25,178849,8208,0.04589,0.04493,0.04687
P2,3,1.25,1.5,205704,6554,0.03186,0.03111,0.03263
P2,3,1.5,2.0,198109,912,0.0046,0.00431,0.00491
P2,3,2.0,3.0,74699,0,0.0,0.0,5e-05
P2,3,3.0,inf,2,0,0.0,0.0,0.65763
P2,5,0,0.25,38650,2349,0.06078,0.05844,0.0632
P2,5,0.25,0.5,131525,8167,0.06209,0.0608,0.06341
P2,5,0.5,0.75,147085,6750,0.04589,0.04483,0.04697
P2,5,0.75,1.0,119149,1584,0.01329,0.01266,0.01396
P2,5,1.0,1.25,98688,113,0.00115,0.00095,0.00138
P2,5,1.25,1.5,74294,2,3e-05,1e-05,0.0001
P2,5,1.5,2.0,65738,0,0.0,0.0,6e-05
