variant,P,profile,strategy,runs,win,lose,bk_d4,bk_d8,bk_d12,bk_d16,final_p10,final_med,final_p90,income_mean,eb_buy,eb_used,lose_without_eb,n_without_eb,own_tip_jar,own_grace_plus,own_cooler,own_morning_shift,own_ticket_queue,own_forecast,tip_mean,morning_mean,grace_plus_used,forecast_swaps,event_days_mean,pos_cal_mean,offers
kart,4,zayif,acgozlu,5000,0.879,0.121,0,71,395,139,0,712,1371,7444,0.478,0.359,0.1716,3205,0.104,0.483,0.166,0.108,0.123,0.126,15,0.1,0.453,0.02,5.65,3.44,random
kart,4,zayif,mantikli,5000,0.6728,0.3272,0,347,1097,192,0,492,1187,6714,0.335,0.213,0.4058,3933,0.099,0.386,0.129,0.095,0.096,0.074,25,0.2,0.324,0.01,5.15,3.43,random
kart,4,zayif,acgozlu_noeb,5000,0.7344,0.2656,0,177,914,237,0,519,1033,6965,0.0,0.0,0.2656,5000,0.054,0.829,0.107,0.05,0.064,0.055,12,0.1,0.745,0.01,5.35,3.42,random
kart,4,orta,hic,5000,0.9994,0.0006,0,0,3,0,3126,4515,5937,12468,0.0,0.0,0.0006,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.86,3.42,random
kart,4,orta,acgozlu,5000,1.0,0.0,0,0,0,0,1772,3284,5465,14409,0.496,0.001,0.0,4997,0.615,0.499,0.681,0.63,0.648,0.579,318,2.8,0.019,0.3,5.87,3.72,random
kart,4,orta,mantikli,5000,0.9998,0.0002,0,0,1,0,1879,3574,5865,14803,0.455,0.0,0.0002,4998,0.657,0.525,0.664,0.632,0.642,0.554,378,3.2,0.015,0.27,5.86,3.69,random
kart,4,orta,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,1856,3381,5621,14574,0.0,0.0,0.0,5000,0.661,0.924,0.73,0.656,0.679,0.608,363,3.0,0.032,0.33,5.87,3.74,random
kart,4,iyi,hic,5000,1.0,0.0,0,0,0,0,6992,8589,10149,16140,0.0,0.0,0.0,5000,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.87,3.42,random
kart,4,iyi,acgozlu,5000,1.0,0.0,0,0,0,0,6408,9716,13470,22371,0.504,0.0,0.0,5000,0.883,0.494,0.909,0.896,0.893,0.847,696,6.0,0.0,0.59,5.87,4.0,random
kart,4,iyi,mantikli,5000,1.0,0.0,0,0,0,0,7091,10483,14060,23149,0.479,0.0,0.0,5000,0.897,0.514,0.899,0.903,0.886,0.855,746,6.7,0.0,0.57,5.87,3.98,random
kart,4,iyi,acgozlu_noeb,5000,1.0,0.0,0,0,0,0,6506,9890,13609,22669,0.0,0.0,0.0,5000,0.913,0.923,0.93,0.921,0.916,0.893,755,6.6,0.0,0.63,5.87,4.05,random
