{'card': 'morning_shift', 'P': 4, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.475, 'buy_day_mean': 5.92, 'cost_mean': 199, 'd_final_money': 31, 'd_income_gross': 243, 'gain_per_active_day': 24.2, 'payback_days': 8.24, 'lose_with': 0.52, 'lose_without': 0.5427}
{'card': 'morning_shift', 'P': 4, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.53, 'cost_mean': 194, 'd_final_money': 373, 'd_income_gross': 599, 'gain_per_active_day': 48.1, 'payback_days': 4.05, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'ticket_queue', 'P': 1, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 67, 'd_final_money': -26, 'd_income_gross': -8, 'gain_per_active_day': -0.6, 'payback_days': '', 'lose_with': 0.2673, 'lose_without': 0.1753}
{'card': 'ticket_queue', 'P': 1, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 1.0, 'cost_mean': 67, 'd_final_money': -13, 'd_income_gross': 57, 'gain_per_active_day': 3.8, 'payback_days': 17.53, 'lose_with': 0.0, 'lose_without': 0.0007}
{'card': 'ticket_queue', 'P': 2, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.953, 'buy_day_mean': 3.39, 'cost_mean': 108, 'd_final_money': 15, 'd_income_gross': 70, 'gain_per_active_day': 5.6, 'payback_days': 19.28, 'lose_with': 0.206, 'lose_without': 0.1893}
{'card': 'ticket_queue', 'P': 2, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 2.38, 'cost_mean': 106, 'd_final_money': 217, 'd_income_gross': 330, 'gain_per_active_day': 24.3, 'payback_days': 4.41, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'ticket_queue', 'P': 3, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.728, 'buy_day_mean': 4.37, 'cost_mean': 145, 'd_final_money': 0, 'd_income_gross': -56, 'gain_per_active_day': -4.9, 'payback_days': '', 'lose_with': 0.4607, 'lose_without': 0.4267}
{'card': 'ticket_queue', 'P': 3, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.18, 'cost_mean': 141, 'd_final_money': 449, 'd_income_gross': 609, 'gain_per_active_day': 47.5, 'payback_days': 2.98, 'lose_with': 0.0, 'lose_without': 0.0}
{'card': 'ticket_queue', 'P': 4, 'profile': 'zayif', 'runs': 1500, 'bought_frac': 0.517, 'buy_day_mean': 5.62, 'cost_mean': 174, 'd_final_money': 47, 'd_income_gross': 190, 'gain_per_active_day': 18.4, 'payback_days': 9.47, 'lose_with': 0.5313, 'lose_without': 0.5427}
{'card': 'ticket_queue', 'P': 4, 'profile': 'orta', 'runs': 1500, 'bought_frac': 1.0, 'buy_day_mean': 3.46, 'cost_mean': 169, 'd_final_money': 673, 'd_income_gross': 862, 'gain_per_active_day': 68.8, 'payback_days': 2.47, 'lose_with': 0.0, 'lose_without': 0.0}
